id,side,timestamp,heart_rate,hrv,breathing_rate
1812,left,1777814720,72.81553398058253,,15.485583659022197
1813,left,1777814780,50.16722408026756,67.78761060649938,20.724837921139333
1814,left,1777816959,63.02521008403362,,15.929716161421126
1815,left,1777817020,76.72634271099744,,17.357458447296448
1816,left,1777817080,72.81553398058253,,20.850527778984404
1817,left,1777820419,56.81818181818182,85.22167897842212,19.271123292364354
1818,left,1777820479,,93.84296250699936,20.88651659317707
1819,left,1777820540,,51.48245154551794,19.889188805228013
1820,right,1777820828,96.15384615384616,,19.739133800363817
1821,right,1777820890,98.19967266775778,75.16806348864411,17.147429790801358
1822,right,1777820951,74.44168734491315,83.00062615819431,18.532246108228314
1823,right,1777822038,53.380782918149464,,20.79002079002079
1824,right,1777822099,50.5902192242833,,19.892140394306427
1825,right,1777822159,71.42857142857143,,22.320390606835616
1826,right,1777822220,49.91680532445923,,18.984568952928
1827,right,1777822281,60.483870967741936,,18.16392946340725
1828,right,1777822342,50.16722408026756,,16.479635878521538
1829,right,1777822402,63.29113924050633,43.11021108535232,17.51313485113835
1830,right,1777822463,59.05511811023622,78.67915085427346,18.950653983353153
1831,right,1777822523,59.523809523809526,46.68084440718593,22.26109079344888
1832,right,1777822584,49.18032786885246,88.86679746850166,21.18759167707937
1833,right,1777822644,49.91680532445923,29.155955705248616,18.994103913576826
1834,right,1777822704,50.0,,16.964213587527265
1835,right,1777825824,74.07407407407408,,17.54385964912281
1836,right,1777825884,49.66887417218543,,21.423470602237565
1837,right,1777825944,,38.218305677893255,15.841423290954143
1838,right,1777839167,74.25742574257426,,16.385866140078146
1839,right,1777839227,,,18.68431296224212
1840,left,1777839233,,,15.64828614008942
1841,right,1777839288,60.97560975609756,64.7042527908182,20.212490282456592
1842,left,1777839294,65.64551422319475,,18.71393668451422
1843,right,1777839349,61.47540983606557,48.058818129454664,23.19633616844109
1844,left,1777839354,72.28915662650603,92.29180775008028,17.46276322547509
1845,right,1777839410,74.81296758104739,39.607448794387146,17.87345593200143
1846,right,1777839470,59.523809523809526,32.737817671346896,17.33164831196967
1847,right,1777839531,52.35602094240838,43.95418880593919,18.90359168241966
1848,right,1777839591,74.81296758104739,69.3685807840985,18.24225717528782
1849,right,1777839651,73.71007371007371,84.97762400300789,18.5974428516079
1850,right,1777839712,61.98347107438016,59.353227002038864,19.441903019213175
1851,right,1777839938,82.64462809917356,84.19238173883159,20.19260639950295
1852,right,1777839998,,35.00092330455333,17.51057930833211
1853,right,1777840059,49.01960784313726,71.1036320853337,18.73975169829
1854,right,1777840252,97.40259740259741,94.96033286249096,19.23729772547244
1855,right,1777840312,73.52941176470588,42.86878132518447,17.798562155370977
1856,right,1777840372,75.0,,17.98869282165496
1857,right,1777840874,75.56675062972292,,18.580782162449125
1858,right,1777840934,50.505050505050505,17.110649032650656,19.016227180527384
1859,right,1777840994,72.99270072992701,80.247302943025,20.446681346335325
1860,right,1777844823,76.92307692307692,,21.217407704276486
