endDate,startDate,type,value
2026-04-17 03:27:04 -0400,2026-04-17 03:03:13 -0400,HKCategoryTypeIdentifierSleepAnalysis,HKCategoryValueSleepAnalysisAsleepCore
2026-04-17 03:36:30 -0400,2026-04-17 03:27:04 -0400,HKCategoryTypeIdentifierSleepAnalysis,HKCategoryValueSleepAnalysisAsleepREM
2026-04-17 03:37:00 -0400,2026-04-17 03:36:30 -0400,HKCategoryTypeIdentifierSleepAnalysis,HKCategoryValueSleepAnalysisAsleepCore
2026-04-17 03:41:58 -0400,2026-04-17 03:37:00 -0400,HKCategoryTypeIdentifierSleepAnalysis,HKCategoryValueSleepAnalysisAsleepREM
2026-04-17 04:22:12 -0400,2026-04-17 03:41:58 -0400,HKCategoryTypeIdentifierSleepAnalysis,HKCategoryValueSleepAnalysisAsleepCore
2026-04-17 04:32:08 -0400,2026-04-17 04:22:12 -0400,HKCategoryTypeIdentifierSleepAnalysis,HKCategoryValueSleepAnalysisAsleepDeep
2026-04-17 04:32:38 -0400,2026-04-17 04:32:08 -0400,HKCategoryTypeIdentifierSleepAnalysis,HKCategoryValueSleepAnalysisAwake
2026-04-17 05:03:56 -0400,2026-04-17 04:32:38 -0400,HKCategoryTypeIdentifierSleepAnalysis,HKCategoryValueSleepAnalysisAsleepCore
2026-04-17 05:05:55 -0400,2026-04-17 05:03:56 -0400,HKCategoryTypeIdentifierSleepAnalysis,HKCategoryValueSleepAnalysisAwake
2026-04-17 05:14:22 -0400,2026-04-17 05:05:55 -0400,HKCategoryTypeIdentifierSleepAnalysis,HKCategoryValueSleepAnalysisAsleepCore
2026-04-17 05:46:39 -0400,2026-04-17 05:14:22 -0400,HKCategoryTypeIdentifierSleepAnalysis,HKCategoryValueSleepAnalysisAsleepREM
2026-04-17 06:33:21 -0400,2026-04-17 05:46:39 -0400,HKCategoryTypeIdentifierSleepAnalysis,HKCategoryValueSleepAnalysisAsleepCore
2026-04-17 06:35:20 -0400,2026-04-17 06:33:21 -0400,HKCategoryTypeIdentifierSleepAnalysis,HKCategoryValueSleepAnalysisAwake
2026-04-17 06:47:15 -0400,2026-04-17 06:35:20 -0400,HKCategoryTypeIdentifierSleepAnalysis,HKCategoryValueSleepAnalysisAsleepCore
2026-04-17 06:48:15 -0400,2026-04-17 06:47:15 -0400,HKCategoryTypeIdentifierSleepAnalysis,HKCategoryValueSleepAnalysisAwake
2026-04-17 06:54:12 -0400,2026-04-17 06:48:15 -0400,HKCategoryTypeIdentifierSleepAnalysis,HKCategoryValueSleepAnalysisAsleepCore
2026-04-17 07:00:40 -0400,2026-04-17 06:54:12 -0400,HKCategoryTypeIdentifierSleepAnalysis,HKCategoryValueSleepAnalysisAsleepREM
2026-04-17 07:03:09 -0400,2026-04-17 07:00:40 -0400,HKCategoryTypeIdentifierSleepAnalysis,HKCategoryValueSleepAnalysisAwake
2026-04-17 07:29:59 -0400,2026-04-17 07:03:09 -0400,HKCategoryTypeIdentifierSleepAnalysis,HKCategoryValueSleepAnalysisAsleepCore
